cov,t,theta_control,theta_sensor,x_control,x_sensor,y_control,y_sensor
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:25.157981,[3.44048029],[3.5343888],[-1108.58183184],[-90.42469607],[-344.08097806],[-32.43670746]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:25.242611,[3.44365361],[3.5338349],[-1186.45279938],[-96.06942637],[-376.07171977],[-34.77364179]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:25.315838,[3.44048029],[3.53143855],[-1259.08484131],[-100.72939317],[-391.64017564],[-36.69483392]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:25.387500,[3.44365361],[3.52932793],[-1324.74075512],[-105.53058572],[-418.61276178],[-38.66160335]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:25.460742,[3.44365361],[3.53396182],[-1324.74075512],[-110.50717407],[-418.61276178],[-40.70755826]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:25.533306,[3.44365361],[3.54171902],[-1324.74075512],[-115.70030037],[-418.61276178],[-42.88024411]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:25.605830,[3.44365361],[3.54425058],[-1324.74075512],[-121.23324333],[-418.61276178],[-45.22861977]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:25.677681,[3.44365361],[3.55020725],[-1324.74075512],[-126.75222317],[-418.61276178],[-47.59876182]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:25.748838,[3.44365361],[3.55494209],[-1324.74075512],[-132.35812045],[-418.61276178],[-50.04180753]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:25.822864,[3.44365361],[3.56027158],[-1324.74075512],[-138.27047505],[-418.61276178],[-52.65388766]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:25.894140,[3.44365361],[3.55894983],[-1324.74075512],[-143.16971234],[-418.61276178],[-54.83011633]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:25.978092,[3.52616009],[3.61810884],[-1325.61330688],[-148.20128277],[-418.16304445],[-57.24166007]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:26.051464,[3.64674647],[3.74704754],[-1325.38749299],[-152.41538244],[-417.97379928],[-59.77336505]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:26.125840,[3.79271946],[3.9367333],[-1325.38749299],[-156.04629427],[-417.97379928],[-62.83348855]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:26.197500,[3.93869246],[4.13606408],[-1325.38749299],[-158.95457724],[-417.97379928],[-66.45954601]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:26.269112,[4.0783188],[4.32674663],[-1325.38749299],[-161.29821428],[-417.97379928],[-70.9504619]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:26.340029,[4.21159848],[4.51287106],[-1325.38749299],[-162.63017271],[-417.97379928],[-75.37226977]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:26.411650,[4.35122482],[4.69342115],[-1325.38749299],[-163.15665555],[-417.97379928],[-80.17246197]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:26.482904,[4.43690462],[4.84685238],[-1325.01736901],[-162.82994206],[-417.76060812],[-85.82376505]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:26.554746,[4.44325128],[4.85727526],[-1326.55488825],[-162.00326612],[-434.127458],[-91.70380079]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:26.629064,[4.43690462],[4.83741351],[-1350.91420555],[-161.15374979],[-484.43224845],[-97.96033186]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:26.712472,[4.4337313],[4.84241763],[-1381.07391719],[-160.22810706],[-563.03051137],[-105.17937054]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:26.784415,[4.44007795],[4.84375175],[-1388.38538149],[-159.39724169],[-638.29519818],[-111.50038306]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:26.857221,[4.43690462],[4.83946312],[-1414.77668351],[-158.57742466],[-707.73070431],[-117.8094588]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:26.930214,[4.44007795],[4.84344427],[-1427.80365032],[-157.71117122],[-777.50546734],[-124.48392565]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.002698,[4.43690462],[4.83901647],[-1453.02200559],[-156.84253377],[-843.85495098],[-131.18849176]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.076558,[4.43690462],[4.83168472],[-1453.02200559],[-155.99051594],[-843.85495098],[-138.08267125]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.148697,[4.43690462],[4.82751407],[-1453.02200559],[-155.17994506],[-843.85495098],[-144.96649241]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.219814,[4.43690462],[4.81836003],[-1453.02200559],[-154.43478912],[-843.85495098],[-151.67957183]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.291491,[4.43690462],[4.82250397],[-1453.02200559],[-153.68214612],[-843.85495098],[-158.61858665]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.363198,[4.44007795],[4.82578922],[-1466.0489724],[-152.89472942],[-913.62971402],[-165.63498357]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.444260,[4.43690462],[4.82517024],[-1494.78616794],[-151.99460094],[-989.23726513],[-173.56036927]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.517588,[4.43690462],[4.8192511],[-1494.78616794],[-151.19904499],[-989.23726513],[-180.77529228]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.589411,[4.44007795],[4.81603888],[-1507.81313475],[-150.44622058],[-1059.01202817],[-187.90117737]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.660299,[4.44007795],[4.81426036],[-1507.81313475],[-149.70469703],[-1059.01202817],[-195.09178646]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.731890,[4.43690462],[4.81543177],[-1533.03149002],[-148.94720773],[-1125.36151181],[-202.4591332]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.803368,[4.43690462],[4.81301469],[-1533.03149002],[-148.19873388],[-1125.36151181],[-209.78363166]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.876201,[4.44007795],[4.81460366],[-1546.05845683],[-147.42671248],[-1195.13627484],[-217.36962173]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:27.947513,[4.43690462],[4.81755965],[-1571.2768121],[-146.65686643],[-1261.48575848],[-224.76729877]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.019955,[4.43690462],[4.81779672],[-1571.2768121],[-145.86697457],[-1261.48575848],[-232.24167234]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.090693,[4.43690462],[4.82057459],[-1571.2768121],[-145.08183825],[-1261.48575848],[-239.56539382]
