,lr_delta,euler_x,left_enc,y,theta,x_delta,right_enc,x,y_delta
77,200.75,1924,-4,1928,-2.75,-1.4873226211021413,31,30.96429995043902,31
78,200.5625,1955,-4,1959,-2.9375,-1.5886449542795134,31,30.959266903614534,31
79,200.5625,1986,-5,1991,-2.9375,-1.614268259993699,32,31.458609918188962,31
80,201.0,2018,-4,2022,-2.5,-1.3740112905019,31,31.470018954134318,32
81,200.75,2050,-3,2053,-2.75,-1.5113116956360468,31,31.463724143188035,32
82,200.75,2081,-3,2084,-2.75,-1.4873226211021413,31,30.96429995043902,31
83,200.4375,2111,-4,2115,-3.0625,-1.6294711498336711,31,30.456441416748934,30
84,200.6875,2142,-4,2146,-2.8125,-1.521098555531838,31,30.962659110359997,31
85,200.8125,2174,-3,2177,-2.6875,-1.4769891897414102,31,31.46535400934474,32
86,201.125,2204,-5,2209,-2.375,-1.28463125586763,32,30.973371184558648,30
87,201.375,2237,-3,2240,-2.125,-1.1865523314620818,31,31.97799389525087,33
88,201.1875,2268,-4,2272,-2.3125,-1.271018676692727,32,31.474346880014814,31
89,201.1875,2299,-4,2303,-2.3125,-1.2508437770626837,31,30.97475407239553,31
90,201.1875,2330,-4,2334,-2.3125,-1.2508437770626837,31,30.97475407239553,31
91,200.75,2362,-4,2366,-2.75,-1.5353007701699524,32,31.963148335937053,32
92,201.0625,2393,-4,2397,-2.4375,-1.3184172060735326,31,30.971951441114093,31
93,200.6875,2424,-4,2428,-2.8125,-1.521098555531838,31,30.962659110359997,31
94,200.875,2456,-3,2459,-2.625,-1.4426649263585818,31,31.46694643447716,32
95,200.625,2486,-4,2490,-2.875,-1.5297940883743542,31,30.461610759235548,30
96,201.0,2517,-4,2521,-2.5,-1.3522015874780604,31,30.970494843751233,31
97,200.9375,2548,-4,2552,-2.5625,-1.385984359880749,31,30.969001394203303,31
98,201.0625,2577,-3,2580,-2.4375,-1.2120932378417961,28,28.474213421669408,29
99,201.25,2580,-3,2583,-2.25,-0.11777949772866232,3,2.9976871067399253,3
