drive name,time,left_enc,right_enc,euler_x,euler_y,euler_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
acceleration_sample_1,1595172310.016228,0,0,,,,,,,0.56,9.63,1.77,-0.25,-0.0625,-0.1875
acceleration_sample_1,1595172310.086353,0,0,,,,,,,0.56,9.55,1.74,-0.125,-0.0625,-0.0625
acceleration_sample_1,1595172310.15613,0,0,,,,,,,0.55,9.59,1.75,0.0625,0.0625,0.0625
acceleration_sample_1,1595172310.225907,0,0,,,,,,,0.55,9.61,1.76,0.0625,0.125,0.0
acceleration_sample_1,1595172310.29566,0,0,,,,,,,0.56,9.52,1.74,0.0625,0.125,0.0625
acceleration_sample_1,1595172310.36539,0,0,,,,,,,0.56,9.61,1.79,-0.0625,0.0625,0.0
acceleration_sample_1,1595172310.435675,0,0,,,,,,,0.55,9.5,1.72,0.0625,-0.125,0.0625
acceleration_sample_1,1595172310.505462,0,0,,,,,,,0.56,9.6,1.77,0.0625,-0.125,0.0625
acceleration_sample_1,1595172310.577566,0,0,,,,,,,0.56,9.57,1.77,0.0,-0.0625,0.0625
acceleration_sample_1,1595172310.647847,0,0,,,,,,,0.56,9.52,1.74,-0.125,0.0,0.0
acceleration_sample_1,1595172310.71804,0,0,,,,,,,0.57,9.63,1.78,-0.0625,-0.0625,-0.0625
acceleration_sample_1,1595172310.788855,0,0,,,,,,,0.58,9.53,1.73,-0.0625,-0.0625,0.0
acceleration_sample_1,1595172310.858585,0,0,,,,,,,0.55,9.61,1.77,0.0,0.125,0.0625
acceleration_sample_1,1595172310.931571,0,0,,,,,,,0.54,9.55,1.76,-0.0625,0.0625,0.0
acceleration_sample_1,1595172311.003208,0,0,,,,,,,0.54,9.62,1.8,0.0625,-0.25,0.0
acceleration_sample_1,1595172311.074263,0,0,,,,,,,0.55,9.52,1.75,-0.125,0.125,-0.0625
acceleration_sample_1,1595172311.145158,0,0,,,,,,,0.56,9.6,1.76,0.25,0.0,0.0625
acceleration_sample_1,1595172311.215454,0,0,,,,,,,0.56,9.58,1.75,0.1875,0.0,0.0625
acceleration_sample_1,1595172311.287394,0,0,,,,,,,0.56,9.52,1.74,-0.0625,-0.25,0.0625
acceleration_sample_1,1595172311.357184,0,0,,,,,,,0.57,9.62,1.8,-0.1875,-0.125,0.0
acceleration_sample_1,1595172311.426979,0,0,,,,,,,0.55,9.54,1.73,0.0,-0.125,0.0
acceleration_sample_1,1595172311.497424,0,0,,,,,,,0.53,9.63,1.75,-0.0625,0.25,0.0
acceleration_sample_1,1595172311.567064,0,0,,,,,,,0.56,9.55,1.76,-0.0625,0.0,0.0625
acceleration_sample_1,1595172311.637194,0,0,,,,,,,0.54,9.57,1.75,0.1875,-0.125,0.0625
