drive name,time,left_enc,right_enc,euler_x,euler_y,euler_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
sample_drive_3,2020-05-31 00:17:57.967175,-13,13,348.9375,0.9375,89.0,12.875,-26.0,11.5,0.05,9.37,0.1,-0.125,0.0,0.0625
sample_drive_3,2020-05-31 00:17:59.983149,-13,13,348.9375,0.9375,89.0,13.25,-26.0,11.875,0.05,9.35,0.12,0.0,-0.25,0.0625
sample_drive_3,2020-05-31 00:18:38.765224,0,0,348.9375,0.9375,89.0,-1.0625,-42.375,13.5625,0.06,9.37,0.12,0.25,-0.125,0.0
sample_drive_3,2020-05-31 00:18:40.781069,22,-20,356.875,0.5625,88.9375,0.25,-25.5,5.875,-0.01,9.4,0.12,0.0625,0.0625,-0.125
sample_drive_3,2020-05-31 00:18:42.796885,74,-72,18.3125,-0.0625,88.3125,12.375,-25.875,1.5,0.02,9.37,0.22,0.3125,-0.1875,0.0
sample_drive_3,2020-05-31 00:18:44.813286,153,-151,49.0,-0.25,87.4375,16.0,-25.875,-8.75,0.07,9.34,0.27,-0.0625,0.1875,0.0
sample_drive_3,2020-05-31 00:18:46.829097,310,-307,104.875,-0.6875,86.875,4.1875,-24.25,-20.6875,0.01,9.36,0.21,-0.125,-0.3125,0.0625
sample_drive_3,2020-05-31 00:18:48.845693,258,-255,87.625,0.0,88.25,9.25,-23.75,-16.875,0.0,9.35,0.2,-0.0625,0.1875,0.0625
sample_drive_3,2020-05-31 00:18:50.860827,152,-150,43.75,1.8125,88.25,17.5,-25.75,-6.1875,0.08,9.36,0.28,0.125,0.0,0.0625
sample_drive_3,2020-05-31 00:18:52.877798,-5,6,348.625,2.0,88.4375,13.375,-26.5625,11.0,0.03,9.36,0.12,-0.0625,-0.0625,0.0
sample_drive_3,2020-05-31 00:18:54.893497,-5,6,349.6875,0.875,88.9375,13.0,-26.875,11.5,0.03,9.38,0.11,0.0,0.0625,0.0
sample_drive_3,2020-05-31 00:18:56.909272,-5,6,349.6875,0.875,88.9375,13.375,-26.1875,11.5,0.02,9.37,0.14,0.0,-0.0625,-0.0625
sample_drive_3,2020-05-31 00:18:58.923536,-5,6,349.6875,0.875,88.9375,13.375,-26.875,10.25,0.02,9.39,0.12,-0.125,-0.125,0.0
sample_drive_3,2020-05-31 00:19:00.939544,-5,6,349.6875,0.875,88.9375,13.0,-25.875,11.75,0.03,9.39,0.14,-0.1875,-0.0625,0.0
sample_drive_3,2020-05-31 00:19:02.956101,-5,6,349.6875,0.875,88.9375,13.375,-26.1875,9.875,0.03,9.36,0.13,0.125,0.0,0.125
sample_drive_3,2020-05-31 00:19:04.980285,-5,6,349.6875,0.875,88.9375,13.375,-26.1875,10.6875,0.04,9.38,0.11,-0.1875,-0.125,0.0
sample_drive_3,2020-05-31 00:19:06.995802,-5,6,349.6875,0.875,88.9375,13.375,-26.5625,11.75,0.03,9.35,0.15,0.0625,0.0,0.0625
sample_drive_3,2020-05-31 00:21:46.542702,0,0,349.6875,0.875,88.9375,-0.6875,-43.1875,14.25,0.05,9.36,0.14,-0.125,0.0625,0.0
sample_drive_3,2020-05-31 00:21:48.557918,41,-41,4.4375,0.125,88.625,5.375,-26.0625,6.0,-0.04,9.23,0.41,-2.6875,3.0,0.9375
sample_drive_3,2020-05-31 00:21:50.573800,133,-133,41.75,-0.3125,87.125,15.6875,-25.6875,-6.0625,0.08,9.39,0.21,0.125,-0.3125,0.625
sample_drive_3,2020-05-31 00:21:52.590056,270,-270,89.0625,-1.0625,86.8125,9.25,-24.0625,-17.75,0.08,9.22,0.28,-0.75,-0.0625,0.6875
sample_drive_3,2020-05-31 00:21:54.605742,442,-441,144.0,-0.375,86.1875,-5.25,-23.25,-19.25,0.45,9.65,0.3,-5.0625,-108.75,-7.25
sample_drive_3,2020-05-31 00:21:56.620496,520,-519,180.3125,1.375,87.25,-20.875,-24.5625,-9.875,0.91,9.87,0.14,-0.1875,82.1875,2.625
sample_drive_3,2020-05-31 00:21:58.635342,400,-400,139.4375,0.9375,88.3125,-8.75,-24.5,-19.6875,0.67,8.93,0.22,3.9375,87.125,5.875
sample_drive_3,2020-05-31 00:22:00.651973,265,-266,87.5,0.75,88.5,9.5625,-24.75,-17.0,1.25,9.48,0.14,0.75,5.3125,3.625
sample_drive_3,2020-05-31 00:22:02.667693,-7,6,349.125,1.375,88.5,13.5,-26.6875,11.1875,0.05,9.34,0.15,-0.125,0.0,-0.0625
sample_drive_3,2020-05-31 00:22:04.686510,-7,6,349.5625,0.9375,88.75,13.0625,-26.6875,10.0,0.07,9.36,0.11,-0.25,-0.0625,0.125
